year,MJ Guptill,LRPL Taylor,JEC Franklin,GD Elliott,SB Styris,NL McCullum,KS Williamson,DL Vettori,BB McCullum,TG Southee
2006,0,174,98,0,272,0,0,199,160,0
2007,0,658,214,0,836,0,0,110,794,0
2008,0,134,0,103,206,0,0,81,280,12
2009,509,491,63,463,28,0,0,259,680,64
2010,363,676,252,106,474,217,196,324,324,34
2011,650,561,139,0,266,233,270,66,470,27
2012,400,223,156,0,0,176,356,0,416,77
2013,398,501,152,297,0,292,435,5,420,35
2014,285,645,0,0,0,64,705,41,183,17
2015,1423,1043,0,850,0,87,1376,102,736,66
2016,700,180,0,113,0,0,687,0,119,93
2017,61,123,0,0,0,0,61,0,0,10
