D Ramdin,8,2016,West Indies,Pakistan
DM Bravo,12,2016,West Indies,Pakistan
KA Pollard,9,2016,West Indies,Pakistan
MN Samuels,46,2016,West Indies,Pakistan
D Ramdin,34,2016,West Indies,Pakistan
DM Bravo,61,2016,West Indies,Pakistan
KA Pollard,22,2016,West Indies,Pakistan
MN Samuels,57,2016,West Indies,Pakistan
D Ramdin,37,2016,West Indies,Pakistan
DM Bravo,17,2016,West Indies,Pakistan
KA Pollard,11,2016,West Indies,Pakistan
MN Samuels,13,2016,West Indies,Pakistan
SL Malinga,3,2006,West Indies,England
SL Malinga,2,2006,West Indies,England
D Ramdin,5,2006,West Indies,New Zealand
CH Gayle,6,2006,West Indies,New Zealand
S Chanderpaul,18,2006,West Indies,New Zealand
RR Sarwan,56,2006,West Indies,New Zealand
CH Gayle,0,2006,West Indies,New Zealand
RR Sarwan,14,2006,West Indies,New Zealand
S Chanderpaul,17,2006,West Indies,New Zealand
D Ramdin,11,2006,West Indies,New Zealand
D Ramdin,28,2006,West Indies,New Zealand
CH Gayle,38,2006,West Indies,New Zealand
RR Sarwan,65,2006,West Indies,New Zealand
S Chanderpaul,4,2006,West Indies,New Zealand
D Ramdin,10,2006,West Indies,New Zealand
CH Gayle,5,2006,West Indies,New Zealand
RR Sarwan,42,2006,West Indies,New Zealand
DJ Bravo,3,2006,West Indies,New Zealand
S Chanderpaul,30,2006,West Indies,New Zealand
D Ramdin,38,2006,West Indies,New Zealand
CH Gayle,2,2006,West Indies,New Zealand
DJ Bravo,38,2006,West Indies,New Zealand
S Chanderpaul,41,2006,West Indies,New Zealand
SL Malinga,15,2006,West Indies,Sri Lanka
S Chanderpaul,3,2006,West Indies,Zimbabwe
D Ramdin,37,2006,West Indies,Zimbabwe
RR Sarwan,14,2006,West Indies,Zimbabwe
DJ Bravo,9,2006,West Indies,Zimbabwe
CH Gayle,35,2006,West Indies,Zimbabwe
DJ Bravo,9,2006,West Indies,Zimbabwe
CH Gayle,49,2006,West Indies,Zimbabwe
D Ramdin,4,2006,West Indies,Zimbabwe
RR Sarwan,55,2006,West Indies,Zimbabwe
S Chanderpaul,46,2006,West Indies,Zimbabwe
CH Gayle,95,2006,West Indies,Zimbabwe
DJ Bravo,17,2006,West Indies,Zimbabwe
CH Gayle,11,2006,West Indies,Zimbabwe
MN Samuels,6,2006,West Indies,Zimbabwe
RR Sarwan,91,2006,West Indies,Zimbabwe
S Chanderpaul,45,2006,West Indies,Zimbabwe
DJ Bravo,0,2006,West Indies,India
CH Gayle,0,2006,West Indies,India
MN Samuels,19,2006,West Indies,India
RR Sarwan,98,2006,West Indies,India
S Chanderpaul,10,2006,West Indies,India
S Chanderpaul,58,2006,West Indies,India
CH Gayle,40,2006,West Indies,India
RR Sarwan,115,2006,West Indies,India
DJ Bravo,1,2006,West Indies,India
MN Samuels,11,2006,West Indies,India
DJ Bravo,61,2006,West Indies,India
CH Gayle,46,2006,West Indies,India
MN Samuels,9,2006,West Indies,India
RR Sarwan,6,2006,West Indies,India
D Ramdin,1,2006,West Indies,India
DJ Bravo,62,2006,West Indies,India
CH Gayle,51,2006,West Indies,India
RR Sarwan,52,2006,West Indies,India
D Ramdin,1,2007,West Indies,Pakistan
DJ Bravo,16,2007,West Indies,Pakistan
CH Gayle,2,2007,West Indies,Pakistan
MN Samuels,63,2007,West Indies,Pakistan
RR Sarwan,49,2007,West Indies,Pakistan
S Chanderpaul,19,2007,West Indies,Pakistan
CH Gayle,40,2007,West Indies,Zimbabwe
DJ Bravo,37,2007,West Indies,Zimbabwe
MN Samuels,28,2007,West Indies,Zimbabwe
RR Sarwan,12,2007,West Indies,Zimbabwe
S Chanderpaul,21,2007,West Indies,Zimbabwe
CH Gayle,18,2007,West Indies,Ireland
MN Samuels,27,2007,West Indies,Ireland
RR Sarwan,36,2007,West Indies,Ireland
S Chanderpaul,102,2007,West Indies,Ireland
D Ramdin,52,2007,West Indies,Australia
DJ Bravo,9,2007,West Indies,Australia
CH Gayle,2,2007,West Indies,Australia
MN Samuels,4,2007,West Indies,Australia
RR Sarwan,29,2007,West Indies,Australia
S Chanderpaul,5,2007,West Indies,Australia
SL Malinga,0,2007,West Indies,South Africa
D Ramdin,15,2007,West Indies,New Zealand
DJ Bravo,18,2007,West Indies,New Zealand
CH Gayle,44,2007,West Indies,New Zealand
MN Samuels,9,2007,West Indies,New Zealand
RR Sarwan,19,2007,West Indies,New Zealand
S Chanderpaul,4,2007,West Indies,New Zealand
D Ramdin,2,2007,West Indies,Sri Lanka
DJ Bravo,21,2007,West Indies,Sri Lanka
CH Gayle,10,2007,West Indies,Sri Lanka
MN Samuels,3,2007,West Indies,Sri Lanka
RR Sarwan,44,2007,West Indies,Sri Lanka
S Chanderpaul,76,2007,West Indies,Sri Lanka
SL Malinga,2,2007,West Indies,England
D Ramdin,4,2007,West Indies,South Africa
DJ Bravo,6,2007,West Indies,South Africa
KA Pollard,10,2007,West Indies,South Africa
RR Sarwan,92,2007,West Indies,South Africa
S Chanderpaul,4,2007,West Indies,South Africa
CH Gayle,32,2007,West Indies,South Africa
DJ Bravo,9,2007,West Indies,Bangladesh
CH Gayle,1,2007,West Indies,Bangladesh
MN Samuels,31,2007,West Indies,Bangladesh
RR Sarwan,91,2007,West Indies,Bangladesh
S Chanderpaul,50,2007,West Indies,Bangladesh
D Ramdin,10,2007,West Indies,England
DJ Bravo,13,2007,West Indies,England
CH Gayle,79,2007,West Indies,England
MN Samuels,51,2007,West Indies,England
RR Sarwan,3,2007,West Indies,England
S Chanderpaul,34,2007,West Indies,England
SL Malinga,10,2007,West Indies,Australia
SL Malinga,7,2006,West Indies,Bangladesh
CH Gayle,41,2006,West Indies,Zimbabwe
S Chanderpaul,14,2006,West Indies,Zimbabwe
SL Malinga,5,2006,West Indies,Sri Lanka
CH Gayle,104,2006,West Indies,Bangladesh
S Chanderpaul,52,2006,West Indies,Bangladesh
DJ Bravo,0,2006,West Indies,Sri Lanka
CH Gayle,0,2006,West Indies,Sri Lanka
MN Samuels,1,2006,West Indies,Sri Lanka
RR Sarwan,0,2006,West Indies,Sri Lanka
S Chanderpaul,8,2006,West Indies,Sri Lanka
SL Malinga,0,2006,West Indies,Pakistan
RR Sarwan,21,2006,West Indies,Australia
CH Gayle,24,2006,West Indies,Australia
MN Samuels,1,2006,West Indies,Australia
SL Malinga,2,2006,West Indies,South Africa
DJ Bravo,16,2006,West Indies,India
CH Gayle,34,2006,West Indies,India
RR Sarwan,53,2006,West Indies,India
S Chanderpaul,51,2006,West Indies,India
MN Samuels,5,2006,West Indies,India
DJ Bravo,112,2006,West Indies,England
CH Gayle,101,2006,West Indies,England
MN Samuels,3,2006,West Indies,England
RR Sarwan,29,2006,West Indies,England
S Chanderpaul,13,2006,West Indies,England
MN Samuels,5,2006,West Indies,South Africa
DJ Bravo,15,2006,West Indies,South Africa
RR Sarwan,27,2006,West Indies,South Africa
S Chanderpaul,57,2006,West Indies,South Africa
CH Gayle,133,2006,West Indies,South Africa
DJ Bravo,21,2006,West Indies,Australia
CH Gayle,37,2006,West Indies,Australia
MN Samuels,7,2006,West Indies,Australia
RR Sarwan,7,2006,West Indies,Australia
S Chanderpaul,27,2006,West Indies,Australia
RR Sarwan,37,2006,West Indies,India
S Chanderpaul,6,2006,West Indies,India
CH Gayle,45,2006,West Indies,India
DJ Bravo,37,2006,West Indies,Australia
CH Gayle,79,2006,West Indies,Australia
MN Samuels,0,2006,West Indies,Australia
RR Sarwan,25,2006,West Indies,Australia
S Chanderpaul,0,2006,West Indies,Australia
DJ Bravo,10,2006,West Indies,India
CH Gayle,1,2006,West Indies,India
MN Samuels,5,2006,West Indies,India
RR Sarwan,2,2006,West Indies,India
S Chanderpaul,21,2006,West Indies,India
DJ Bravo,8,2006,West Indies,Australia
CH Gayle,0,2006,West Indies,Australia
RR Sarwan,36,2006,West Indies,Australia
S Chanderpaul,12,2006,West Indies,Australia
D Ramdin,23,2006,West Indies,Pakistan
CH Gayle,0,2006,West Indies,Pakistan
MN Samuels,37,2006,West Indies,Pakistan
D Ramdin,10,2006,West Indies,Pakistan
CH Gayle,41,2006,West Indies,Pakistan
MN Samuels,13,2006,West Indies,Pakistan
CH Gayle,9,2006,West Indies,Pakistan
S Chanderpaul,60,2006,West Indies,Pakistan
MN Samuels,100,2006,West Indies,Pakistan
D Ramdin,3,2006,West Indies,Pakistan
CH Gayle,7,2006,West Indies,Pakistan
MN Samuels,22,2006,West Indies,Pakistan
S Chanderpaul,101,2006,West Indies,Pakistan
D Ramdin,0,2007,West Indies,England
DJ Bravo,29,2007,West Indies,England
CH Gayle,6,2007,West Indies,England
MN Samuels,0,2007,West Indies,England
S Chanderpaul,53,2007,West Indies,England
D Ramdin,2,2007,West Indies,England
CH Gayle,36,2007,West Indies,England
MN Samuels,77,2007,West Indies,England
S Chanderpaul,116,2007,West Indies,England
DJ Bravo,42,2007,West Indies,England
CH Gayle,82,2007,West Indies,England
MN Samuels,9,2007,West Indies,England
S Chanderpaul,33,2007,West Indies,England
D Ramdin,4,2007,West Indies,India
CH Gayle,0,2007,West Indies,India
DJ Bravo,4,2007,West Indies,India
MN Samuels,98,2007,West Indies,India
D Ramdin,40,2007,West Indies,India
CH Gayle,6,2007,West Indies,India
MN Samuels,55,2007,West Indies,India
S Chanderpaul,14,2007,West Indies,India
SL Malinga,0,2007,West Indies,Sri Lanka
SL Malinga,3,2007,West Indies,Sri Lanka
SL Malinga,0,2007,West Indies,Sri Lanka
SL Malinga,2,2008,West Indies,Australia
SL Malinga,5,2008,West Indies,Australia
SL Malinga,12,2008,West Indies,India
SL Malinga,0,2008,West Indies,Australia
D Ramdin,3,2008,West Indies,South Africa
DJ Bravo,2,2008,West Indies,South Africa
MN Samuels,11,2008,West Indies,South Africa
DJG Sammy,51,2008,West Indies,South Africa
S Chanderpaul,17,2008,West Indies,South Africa
D Ramdin,0,2008,West Indies,South Africa
DJG Sammy,21,2008,West Indies,South Africa
MN Samuels,2,2008,West Indies,South Africa
DJ Bravo,11,2008,West Indies,South Africa
S Chanderpaul,54,2008,West Indies,South Africa
D Ramdin,12,2008,West Indies,South Africa
DJ Bravo,7,2008,West Indies,South Africa
MN Samuels,98,2008,West Indies,South Africa
DJG Sammy,12,2008,West Indies,South Africa
DJ Bravo,18,2008,West Indies,South Africa
MN Samuels,4,2008,West Indies,South Africa
DJG Sammy,2,2008,West Indies,South Africa
S Chanderpaul,28,2008,West Indies,South Africa
D Ramdin,6,2008,West Indies,South Africa
DJ Bravo,40,2008,West Indies,South Africa
DJG Sammy,1,2008,West Indies,South Africa
S Chanderpaul,51,2008,West Indies,South Africa
D Ramdin,8,2007,West Indies,Zimbabwe
CH Gayle,2,2007,West Indies,Zimbabwe
DJ Bravo,0,2007,West Indies,Zimbabwe
S Chanderpaul,127,2007,West Indies,Zimbabwe
MN Samuels,25,2007,West Indies,Zimbabwe
D Ramdin,16,2007,West Indies,Zimbabwe
DJ Bravo,10,2007,West Indies,Zimbabwe
MN Samuels,43,2007,West Indies,Zimbabwe
S Chanderpaul,12,2007,West Indies,Zimbabwe
CH Gayle,58,2007,West Indies,Zimbabwe
D Ramdin,5,2007,West Indies,Zimbabwe
DJ Bravo,41,2007,West Indies,Zimbabwe
MN Samuels,62,2007,West Indies,Zimbabwe
DJ Bravo,36,2008,West Indies,Sri Lanka
CH Gayle,52,2008,West Indies,Sri Lanka
DJG Sammy,1,2008,West Indies,Sri Lanka
RR Sarwan,35,2008,West Indies,Sri Lanka
S Chanderpaul,62,2008,West Indies,Sri Lanka
MN Samuels,0,2008,West Indies,Sri Lanka
RR Sarwan,1,2008,West Indies,Sri Lanka
S Chanderpaul,52,2008,West Indies,Sri Lanka
DJ Bravo,2,2008,West Indies,Sri Lanka
CH Gayle,11,2008,West Indies,Sri Lanka
MN Samuels,54,2008,West Indies,Sri Lanka
DJ Bravo,33,2008,West Indies,Australia
DJG Sammy,33,2008,West Indies,Australia
RR Sarwan,2,2008,West Indies,Australia
CH Gayle,20,2008,West Indies,Australia
KA Pollard,11,2008,West Indies,Australia
D Ramdin,31,2008,West Indies,Australia
CH Gayle,10,2008,West Indies,Australia
DJ Bravo,3,2008,West Indies,Australia
DJG Sammy,9,2008,West Indies,Australia
KA Pollard,0,2008,West Indies,Australia
S Chanderpaul,45,2008,West Indies,Australia
DJ Bravo,7,2008,West Indies,Australia
CH Gayle,53,2008,West Indies,Australia
DJG Sammy,3,2008,West Indies,Australia
RR Sarwan,31,2008,West Indies,Australia
S Chanderpaul,32,2008,West Indies,Australia
D Ramdin,21,2008,West Indies,Australia
D Ramdin,5,2008,West Indies,Australia
CH Gayle,92,2008,West Indies,Australia
DJ Bravo,31,2008,West Indies,Australia
DJG Sammy,3,2008,West Indies,Australia
RR Sarwan,63,2008,West Indies,Australia
S Chanderpaul,53,2008,West Indies,Australia
D Ramdin,3,2008,West Indies,Australia
CH Gayle,5,2008,West Indies,Australia
DJ Bravo,13,2008,West Indies,Australia
RR Sarwan,7,2008,West Indies,Australia
S Chanderpaul,38,2008,West Indies,Australia
D Ramdin,11,2009,West Indies,England
CH Gayle,2,2009,West Indies,England
RR Sarwan,57,2009,West Indies,England
DJ Bravo,1,2009,West Indies,England
KA Pollard,42,2009,West Indies,England
S Chanderpaul,46,2009,West Indies,England
DJ Bravo,19,2009,West Indies,England
CH Gayle,20,2009,West Indies,England
DJG Sammy,11,2009,West Indies,England
KA Pollard,8,2009,West Indies,England
RR Sarwan,74,2009,West Indies,England
S Chanderpaul,112,2009,West Indies,England
D Ramdin,1,2009,West Indies,England
RR Sarwan,10,2009,West Indies,England
CH Gayle,80,2009,West Indies,England
S Chanderpaul,3,2009,West Indies,England
DJ Bravo,69,2009,West Indies,England
CH Gayle,46,2009,West Indies,England
DJG Sammy,6,2009,West Indies,England
KA Pollard,0,2009,West Indies,England
RR Sarwan,6,2009,West Indies,England
S Chanderpaul,27,2009,West Indies,England
D Ramdin,26,2009,West Indies,England
D Ramdin,12,2009,West Indies,England
CH Gayle,0,2009,West Indies,England
RR Sarwan,23,2009,West Indies,England
DJG Sammy,7,2009,West Indies,England
KA Pollard,30,2009,West Indies,England
DJ Bravo,33,2009,West Indies,England
S Chanderpaul,13,2009,West Indies,England
CH Gayle,18,2009,West Indies,New Zealand
KA Pollard,1,2009,West Indies,New Zealand
RR Sarwan,5,2009,West Indies,New Zealand
S Chanderpaul,45,2009,West Indies,New Zealand
D Ramdin,1,2009,West Indies,New Zealand
CH Gayle,113,2008,West Indies,Pakistan
RR Sarwan,55,2008,West Indies,Pakistan
S Chanderpaul,36,2008,West Indies,Pakistan
CH Gayle,0,2008,West Indies,Pakistan
RR Sarwan,45,2008,West Indies,Pakistan
S Chanderpaul,107,2008,West Indies,Pakistan
DJ Bravo,8,2009,West Indies,India
CH Gayle,37,2009,West Indies,India
RR Sarwan,45,2009,West Indies,India
DM Bravo,19,2009,West Indies,India
S Chanderpaul,63,2009,West Indies,India
D Ramdin,29,2009,West Indies,India
CH Gayle,64,2009,West Indies,India
RR Sarwan,15,2009,West Indies,India
S Chanderpaul,18,2009,West Indies,India
D Ramdin,14,2009,West Indies,India
DJ Bravo,14,2009,West Indies,India
CH Gayle,27,2009,West Indies,India
RR Sarwan,62,2009,West Indies,India
DM Bravo,21,2009,West Indies,India
S Chanderpaul,15,2009,West Indies,India
D Ramdin,8,2009,West Indies,England
DJ Bravo,50,2009,West Indies,England
CH Gayle,31,2009,West Indies,England
DJG Sammy,13,2009,West Indies,England
KA Pollard,8,2009,West Indies,England
RR Sarwan,0,2009,West Indies,England
S Chanderpaul,27,2009,West Indies,England
S Chanderpaul,68,2009,West Indies,England
D Ramdin,45,2009,West Indies,England
CH Gayle,11,2009,West Indies,England
RR Sarwan,9,2009,West Indies,England
DJ Bravo,26,2009,West Indies,England
KA Pollard,12,2009,West Indies,England
DJG Sammy,28,2009,West Indies,Bangladesh
DJG Sammy,24,2009,West Indies,Bangladesh
DJG Sammy,40,2009,West Indies,Bangladesh
SL Malinga,4,2009,West Indies,Sri Lanka
SL Malinga,0,2009,West Indies,Sri Lanka
SL Malinga,0,2009,West Indies,Sri Lanka
CH Gayle,7,2010,West Indies,Australia
KA Pollard,31,2010,West Indies,Australia
D Ramdin,17,2010,West Indies,Australia
D Ramdin,30,2010,West Indies,Australia
CH Gayle,0,2010,West Indies,Australia
KA Pollard,32,2010,West Indies,Australia
D Ramdin,15,2010,West Indies,Australia
CH Gayle,34,2010,West Indies,Australia
