Player Name,Team
AC Agar,Australia
Khurram Khan,United Arab Emirates
Muhammad Usman,United Arab Emirates
Hamza Tariq,Canada
Z Khan,India
I Wardlaw,Scotland
Shahadat Hossain,Bangladesh
Mohammad Naveed,United Arab Emirates
Asad Shafiq,Pakistan
Zahid Hussain,Canada
SKW Kelly,Bermuda
AJ McKay,New Zealand
MMA Jonkman,Netherlands
ZE Surkari,Canada
NT Pascal,West Indies
SJ Harmison,England
LD Chandimal,Sri Lanka
Danish Kaneria,Pakistan
Ahmed Raza,United Arab Emirates
IE O'Brien,India
Ahmed Shehzad,Pakistan
Mohammad Sami,Zimbabwe
Skhawat Ali,Hong Kong
E Katchay,Canada
Samiullah Shenwari,Afghanistan
Noor Ali Zadran,Afghanistan
Sharjeel Khan,Pakistan
CR Brathwaite,West Indies
Hammad Azam,Pakistan
Mominul Haque,Bangladesh
D Gough,England
TT Bresnan,England
R Vinay Kumar,India
H Patel,Canada
Ziaur Rahman,Bangladesh
M Kaif,India
Bilawal Bhatti,Pakistan
PVD Chameera,West Indies
R Sharma,India
BRM Taylor,Zimbabwe
PA van Meekeren,Netherlands
Haseeb Amjad,Hong Kong
RM West,Scotland
T Shamsi,South Africa
CR Ervine,Zimbabwe
S Weerakoon,Sri Lanka
JL Denly,England
Imran Haider,Hong Kong
C Carter,Hong Kong
MB Loye,England
JP Duminy,South Africa
HMCM Bandara,Sri Lanka
NM Carter,Scotland
M Morkel,South Africa
T Duffin,Zimbabwe
Umar Akmal,Pakistan
SJ Myburgh,Netherlands
Tamim Iqbal,Bangladesh
KDK Vithanage,Sri Lanka
K Weeraratne,Sri Lanka
Khaled Mashud,Bangladesh
Rohan Mustafa,United Arab Emirates
Shuvagoto Hom,Bangladesh
Y Punja,United Arab Emirates
Alok Kapali,Bangladesh
JD Ryder,New Zealand
J Blackwood,West Indies
ST Gabriel,West Indies
RG Aga,Kenya
R Gunasekera,Canada
GO Jones,England
HS Baidwan,Canada
Raza Hasan,Pakistan
Pankaj Singh,India
R Flannigan,Scotland
CH Morris,South Africa
HD Rutherford,New Zealand
RR Rossouw,South Africa
ML Lewis,Australia
J Mubarak,Sri Lanka
KED Carroll,Ireland
VVS Laxman,India
Mahmudullah,Bangladesh
Wahab Riaz,Pakistan
SM Warnapura,Sri Lanka
SE Marsh,Australia
NJ Astle,New Zealand
IA Karim,Kenya
DA Miller,South Africa
Naeem Islam,Bangladesh
AD Mathews,Sri Lanka
Nadeem Ahmed,Hong Kong
MD Gunathilaka,Sri Lanka
PD Collingwood,England
Imran Farhat,Pakistan
DPMD Jayawardene,Sri Lanka
Arshad Khan,Pakistan
PD McGlashan,New Zealand
Adeel Raja,Netherlands
JL Pattinson,Australia
KH Butt,Hong Kong
GM Strydom,Zimbabwe
Anamul Haque,Bangladesh
N Deonarine,West Indies
KD Mills,Pakistan
Taufeeq Umar,Pakistan
AB Agarkar,South Africa
KM Dabengwa,Zimbabwe
FRJ Coleman,Scotland
FDM Karunaratne,Sri Lanka
PA Jaques,Australia
GA Lamb,Zimbabwe
GJP Kruger,South Africa
Umar Gul,Pakistan
MA Leask,United Arab Emirates
R Rampaul,West Indies
AJ Hall,South Africa
AU Rashid,Pakistan
CJ Anderson,New Zealand
SI Mahmood,England
JJ Krejza,Australia
A Shamshudeen,Canada
AD Hales,England
K Whatham,Canada
RAJ Smith,Scotland
AN Petersen,South Africa
TR Ambrose,England
Dawlat Ahmadzai,Afghanistan
TM Head,Australia
WTS Porterfield,Ireland
CJ Jordan,England
RR Powar,India
MP Stoinis,Australia
DS Smith,West Indies
JM How,New Zealand
DA Warner,Australia
EJ Richardson,Ireland
RD Shah,Kenya
Mohammad Talha,Pakistan
WP Masakadza,Zimbabwe
A Mishra,India
AC Botha,Ireland
KL Tucker,Bermuda
Najibullah Zadran,Afghanistan
Mohammad Shahzad,Afghanistan
