match_id,playerName,runsScored,ballsFaced,team,result,opposition
1000887,Imad Wasim,29,36,Pakistan,lose,Australia
1000887,MR Marsh,4,17,Australia,win,Pakistan
1000887,Babar Azam,33,46,Pakistan,lose,Australia
1000887,CA Lynn,16,14,Australia,win,Pakistan
1000887,Umar Akmal,17,25,Pakistan,lose,Australia
1000887,SPD Smith,0,1,Australia,win,Pakistan
1000887,Azhar Ali,24,50,Pakistan,lose,Australia
1000887,GJ Maxwell,60,58,Australia,win,Pakistan
1000887,Mohammad Nawaz (3),1,10,Pakistan,lose,Australia
1000887,MS Wade,100,102,Australia,win,Pakistan
1000887,Mohammad Amir,8,10,Pakistan,lose,Australia
1000887,TM Head,39,39,Australia,win,Pakistan
1000887,Hasan Ali,1,1,Pakistan,lose,Australia
1000887,Wahab Riaz,6,8,Pakistan,lose,Australia
1000887,Mohammad Hafeez,4,8,Pakistan,lose,Australia
1000887,Sharjeel Khan,18,23,Pakistan,lose,Australia
1000887,Mohammad Rizwan,21,44,Pakistan,lose,Australia
1000887,MA Starc,10,8,Australia,win,Pakistan
1000887,DA Warner,7,19,Australia,win,Pakistan
1000887,B Stanlake,1,6,Pakistan,lose,Australia
1000887,JP Faulkner,5,13,Australia,win,Pakistan
1000887,PJ Cummins,15,33,England,lose,Australia
1000889,TM Head,29,31,Australia,lose,Pakistan
1000889,MR Marsh,0,1,Australia,lose,Pakistan
1000889,UT Khawaja,17,21,Australia,lose,Pakistan
1000889,Asad Shafiq,13,29,Pakistan,win,Australia
1000889,Mohammad Hafeez,72,106,Pakistan,win,Australia
1000889,Babar Azam,34,49,Pakistan,win,Australia
1000889,Umar Akmal,18,21,Pakistan,win,Australia
1000889,SPD Smith,60,103,Australia,lose,Pakistan
1000889,Sharjeel Khan,29,33,Pakistan,win,Australia
1000889,DA Warner,16,25,Australia,lose,Pakistan
1000889,PJ Cummins,0,3,England,lose,Australia
1000889,JR Hazlewood,0,3,Australia,lose,Pakistan
1000889,MA Starc,3,5,Australia,lose,Pakistan
1000889,GJ Maxwell,23,26,Australia,lose,Pakistan
1000889,Shoaib Malik,42,55,Pakistan,win,Australia
1000889,MS Wade,35,57,Australia,lose,Pakistan
1000889,JP Faulkner,19,22,Australia,lose,Pakistan
1000891,TM Head,23,25,Australia,win,Pakistan
1000891,Imad Wasim,9,13,Pakistan,lose,Australia
1000891,PSP Handscomb,82,85,Australia,win,Pakistan
1000891,UT Khawaja,9,21,Australia,win,Pakistan
1000891,Asad Shafiq,5,10,Pakistan,lose,Australia
1000891,Mohammad Hafeez,4,15,Pakistan,lose,Australia
1000891,Babar Azam,84,103,Pakistan,lose,Australia
1000891,Mohammad Amir,4,6,Pakistan,lose,Australia
1000891,Umar Akmal,39,52,Pakistan,lose,Australia
1000891,SPD Smith,108,107,Australia,win,Pakistan
1000891,Sharjeel Khan,50,49,Pakistan,lose,Australia
1000891,Mohammad Rizwan,14,19,Pakistan,lose,Australia
1000891,DA Warner,35,38,Australia,win,Pakistan
1000891,Shoaib Malik,39,41,Pakistan,lose,Australia
1000893,TM Head,51,36,Australia,win,Pakistan
1000893,Imad Wasim,25,17,Pakistan,lose,Australia
1000893,Junaid Khan,0,1,Pakistan,lose,Australia
1000893,UT Khawaja,30,49,Australia,win,Pakistan
1000893,Mohammad Hafeez,40,40,Pakistan,lose,Australia
1000893,Babar Azam,31,39,Pakistan,lose,Australia
1000893,Mohammad Amir,5,6,Pakistan,lose,Australia
1000893,Hasan Ali,8,7,Pakistan,lose,Australia
1000893,Umar Akmal,11,25,Pakistan,lose,Australia
1000893,SPD Smith,49,48,Australia,win,Pakistan
1000893,Sharjeel Khan,74,49,Pakistan,lose,Australia
1000893,Mohammad Rizwan,10,12,Pakistan,lose,Australia
1000893,Azhar Ali,7,10,Pakistan,lose,Australia
1000893,DA Warner,130,119,Australia,win,Pakistan
1000893,Shoaib Malik,47,61,Pakistan,lose,Australia
1000893,GJ Maxwell,78,44,Australia,win,Pakistan
1000893,MS Wade,5,6,Australia,win,Pakistan
1000895,TM Head,128,139,Australia,win,Pakistan
1000895,Hasan Ali,13,10,Pakistan,lose,Australia
1000895,PSP Handscomb,1,2,Australia,win,Pakistan
1000895,Mohammad Rizwan,6,7,Pakistan,lose,Australia
1000895,Wahab Riaz,17,21,Pakistan,lose,Australia
1000895,Mohammad Hafeez,3,6,Pakistan,lose,Australia
1000895,Babar Azam,100,115,Pakistan,lose,Australia
1000895,Mohammad Amir,17,14,Pakistan,lose,Australia
1000895,Umar Akmal,46,41,Pakistan,lose,Australia
1000895,SPD Smith,4,2,Australia,win,Pakistan
1000895,Sharjeel Khan,79,71,Pakistan,lose,Australia
1000895,PJ Cummins,1,1,England,lose,Australia
